gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,22,22,多,开,8131.5,152.26494099733537,15:11:00,2019-06-12 15:11:00,0,0,247.62847354396652,76.13247049866769,1m
BACKTESTING,XBTUSD,BITMEX,23,23,空,平,8106.5,609.0597639893415,02:58:00,2019-06-13 02:58:00,24819.185382565665,22240.152264940996,987.4685953559194,304.52988199467075,1m
BACKTESTING,XBTUSD,BITMEX,24,24,空,开,8068.0,229.22636103151862,12:48:00,2019-06-13 12:48:00,0,0,369.87965616045847,114.61318051575931,1m
BACKTESTING,XBTUSD,BITMEX,25,25,多,平,8155.0,229.22636103151862,13:03:00,2019-06-13 13:03:00,-19942.69340974212,-20915.66762177651,373.86819484240687,114.61318051575931,1m
BACKTESTING,XBTUSD,BITMEX,26,26,多,开,8196.5,213.21961620469085,13:28:00,2019-06-13 13:28:00,0,0,349.53091684434975,106.60980810234543,1m
BACKTESTING,XBTUSD,BITMEX,27,27,多,开,8220.0,213.21961620469085,15:10:00,2019-06-13 15:10:00,0,0,350.5330490405118,106.60980810234543,1m
BACKTESTING,XBTUSD,BITMEX,28,28,多,开,8267.0,213.21961620469085,18:57:00,2019-06-13 18:57:00,0,0,352.53731343283584,106.60980810234543,1m
BACKTESTING,XBTUSD,BITMEX,29,29,多,开,8337.5,213.21961620469085,12:33:00,2019-06-14 12:33:00,0,0,355.543710021322,106.60980810234543,1m
BACKTESTING,XBTUSD,BITMEX,30,30,空,平,8541.0,852.8784648187634,21:05:00,2019-06-14 21:05:00,243710.02132196166,239992.11087420047,1456.8869936034118,426.4392324093817,1m
BACKTESTING,XBTUSD,BITMEX,31,31,多,开,8520.5,185.5287569573284,21:06:00,2019-06-14 21:06:00,0,0,316.1595547309833,92.7643784786642,1m
BACKTESTING,XBTUSD,BITMEX,32,32,多,开,8520.5,185.5287569573284,21:06:00,2019-06-14 21:06:00,0,0,316.1595547309833,92.7643784786642,1m
BACKTESTING,XBTUSD,BITMEX,33,33,多,开,8522.0,185.5287569573284,21:06:00,2019-06-14 21:06:00,0,0,316.2152133580705,92.7643784786642,1m
BACKTESTING,XBTUSD,BITMEX,34,34,多,开,8603.0,185.5287569573284,21:12:00,2019-06-14 21:12:00,0,0,319.22077922077926,92.7643784786642,1m
BACKTESTING,XBTUSD,BITMEX,35,35,空,平,8807.0,742.1150278293136,15:38:00,2019-06-15 15:38:00,197031.53988868275,193714.50834879407,1307.1614100185532,371.0575139146568,1m
BACKTESTING,XBTUSD,BITMEX,36,36,多,开,8805.0,149.2537313432836,15:39:00,2019-06-15 15:39:00,0,0,262.83582089552243,74.6268656716418,1m
BACKTESTING,XBTUSD,BITMEX,37,37,多,开,8838.5,149.2537313432836,16:10:00,2019-06-15 16:10:00,0,0,263.83582089552243,74.6268656716418,1m
BACKTESTING,XBTUSD,BITMEX,38,38,多,开,8905.5,149.2537313432836,16:52:00,2019-06-15 16:52:00,0,0,265.83582089552243,74.6268656716418,1m
